Timestamp,Instrument,Direction,Score,Signal,Trend,ADX,ATR_Percentile,Breakout,Strike,Bid,Result,Notes
2026-05-17 21:45:02,EURCAD,SELL,-7,STRONG SELL,DOWN,28,52,NONE,9,1.59748,,
2026-05-17 21:45:03,USDCHF,SELL,-7,STRONG SELL,UP,6,42,DOWN,9,0.78632,,
2026-05-18 00:15:00,AUDJPY,BUY,+7,STRONG BUY,FLAT,31,56,UP,9,113.55100,,
2026-05-18 00:15:00,EURGBP,BUY,+7,STRONG BUY,UP,55,51,NONE,9,0.87251,,
2026-05-18 02:45:00,NZDUSD,SELL,-9,STRONG SELL,DOWN,42,42,DOWN,9,0.58258,,
2026-05-18 03:15:00,CADJPY,BUY,+6,BUY,UP,19,50,UP,9,115.51600,,
2026-05-18 03:15:00,EURUSD,SELL,-6,STRONG SELL,DOWN,39,40,NONE,9,1.16111,,
2026-05-18 05:45:00,NZDUSD,BUY,+6,STRONG BUY,FLAT,38,42,UP,9,0.58388,,
2026-05-18 06:15:00,AUDJPY,BUY,+7,STRONG BUY,FLAT,34,58,UP,9,113.48600,,
2026-05-18 06:15:00,EURJPY,BUY,+10,STRONG BUY,UP,31,45,UP,10,184.86400,,
2026-05-18 14:30:00,EURGBP,SELL,-10,STRONG SELL,DOWN,43,42,DOWN,9,0.86991,,
2026-05-18 16:15:00,GBPJPY,BUY,+6,STRONG BUY,UP,46,61,NONE,23,212.63600,,
2026-05-18 18:15:00,EURJPY,BUY,+6,BUY,UP,30,53,NONE,18,185.05400,,
2026-05-18 23:30:00,EURJPY,BUY,+7,STRONG BUY,UP,29,70,NONE,19,185.02300,,
2026-05-19 09:30:00,EURGBP,SELL,-7,STRONG SELL,DOWN,58,45,NONE,9,0.86821,,
2026-05-19 12:30:00,EURGBP,SELL,-6,STRONG SELL,DOWN,54,67,NONE,9,0.86675,,
2026-05-19 13:30:00,CADJPY,BUY,+7,STRONG BUY,UP,14,63,UP,12,115.74500,,
2026-05-19 17:00:00,EURGBP,SELL,-10,STRONG SELL,DOWN,53,79,DOWN,9,0.86578,,
2026-05-19 19:15:00,EURGBP,SELL,-6,STRONG SELL,DOWN,52,76,NONE,9,0.86579,,
2026-05-19 19:15:01,GBPUSD,BUY,+7,STRONG BUY,UP,22,72,UP,24,1.34109,,
2026-05-20 04:30:00,EURUSD,SELL,-6,STRONG SELL,DOWN,44,48,NONE,11,1.15990,,
2026-05-20 04:30:00,EURUSD,SELL,-6,STRONG SELL,DOWN,44,48,NONE,11,1.15990,,
2026-05-20 04:30:00,USDCHF,BUY,+7,STRONG BUY,UP,39,49,NONE,10,0.78972,,
2026-05-20 04:30:00,USDCHF,BUY,+7,STRONG BUY,UP,39,49,NONE,10,0.78972,,
2026-05-20 08:45:00,EURUSD,SELL,-7,STRONG SELL,DOWN,44,54,NONE,11,1.15995,,
2026-05-20 08:45:00,EURUSD,SELL,-7,STRONG SELL,DOWN,44,54,NONE,11,1.15995,,
2026-05-20 09:15:00,EURGBP,SELL,-7,STRONG SELL,DOWN,44,64,NONE,9,0.86612,,
2026-05-20 09:15:00,EURGBP,SELL,-7,STRONG SELL,DOWN,44,64,NONE,9,0.86612,,
2026-05-20 09:45:00,USDJPY,BUY,+7,STRONG BUY,UP,21,45,UP,25,159.03300,,
2026-05-20 09:45:00,USDJPY,BUY,+7,STRONG BUY,UP,21,45,UP,25,159.03300,,
2026-05-20 10:15:00,EURCAD,SELL,-6,STRONG SELL,DOWN,26,52,NONE,16,1.59529,,
2026-05-20 10:15:00,EURCAD,SELL,-6,STRONG SELL,DOWN,26,52,NONE,16,1.59529,,
2026-05-20 10:45:01,NZDUSD,BUY,+6,STRONG BUY,FLAT,40,45,UP,11,0.58403,,
2026-05-20 10:45:01,NZDUSD,BUY,+6,STRONG BUY,FLAT,40,45,UP,11,0.58403,,
2026-05-20 13:15:00,GBPJPY,BUY,+8,STRONG BUY,UP,32,44,UP,25,213.06400,,
2026-05-20 13:15:00,GBPJPY,BUY,+8,STRONG BUY,UP,32,44,UP,25,213.06400,,
2026-05-20 16:30:00,AUDJPY,BUY,+7,STRONG BUY,FLAT,28,68,UP,19,113.49400,,
2026-05-20 16:30:00,AUDJPY,BUY,+7,STRONG BUY,FLAT,28,68,UP,19,113.49400,,
2026-05-20 23:15:01,NZDUSD,BUY,+7,STRONG BUY,UP,33,47,NONE,13,0.58641,,
2026-05-20 23:30:00,EURGBP,SELL,-6,STRONG SELL,DOWN,38,46,NONE,9,0.86482,,
2026-05-21 10:15:00,NZDUSD,BUY,+8,STRONG BUY,UP,18,73,UP,19,0.58694,,
2026-05-21 10:15:00,USDCHF,SELL,-10,STRONG SELL,DOWN,34,80,DOWN,10,0.78652,,
2026-05-21 10:30:00,GBPCHF,SELL,-7,STRONG SELL,FLAT,21,56,DOWN,13,1.05633,,
2026-05-21 12:45:00,CADJPY,BUY,+7,STRONG BUY,FLAT,14,77,UP,13,115.56900,,
2026-05-21 14:00:00,USDJPY,BUY,+6,BUY,UP,18,68,UP,21,159.15400,,
2026-05-21 16:00:00,GBPNZD,SELL,-7,STRONG SELL,FLAT,19,68,DOWN,52,2.28804,,
2026-05-21 17:00:00,AUDJPY,BUY,+8,STRONG BUY,UP,21,43,UP,27,113.58000,,
2026-05-21 18:15:00,GBPAUD,SELL,-7,STRONG SELL,FLAT,23,50,DOWN,39,1.87846,,
2026-05-21 19:15:00,AUDJPY,BUY,+7,STRONG BUY,UP,21,42,UP,24,113.64800,,
2026-05-21 19:15:00,GBPUSD,BUY,+6,STRONG BUY,FLAT,21,62,UP,30,1.34187,,
2026-05-21 19:15:00,NZDUSD,BUY,+7,STRONG BUY,UP,17,55,UP,20,0.58668,,
2026-05-21 19:45:00,GBPJPY,BUY,+6,BUY,UP,20,53,UP,34,213.59300,,
2026-05-21 19:45:00,GBPNZD,SELL,-6,SELL,DOWN,18,54,DOWN,50,2.28394,,
2026-05-22 09:15:00,USDCAD,BUY,+6,BUY,UP,24,42,NONE,12,1.37937,,
2026-05-22 10:45:00,EURCAD,SELL,-6,STRONG SELL,FLAT,10,40,DOWN,21,1.60019,,
2026-05-22 11:15:00,GBPCHF,SELL,-9,STRONG SELL,DOWN,30,48,DOWN,9,1.05516,,
2026-05-22 12:30:00,USDCAD,BUY,+6,STRONG BUY,UP,22,40,UP,15,1.37958,,
2026-05-22 14:00:00,GBPCHF,SELL,-7,STRONG SELL,DOWN,32,45,NONE,9,1.05527,,
2026-05-22 15:15:00,AUDUSD,BUY,+7,STRONG BUY,UP,15,63,UP,14,0.71391,,
2026-05-22 15:15:00,GBPCAD,BUY,+7,STRONG BUY,UP,14,56,UP,28,1.85525,,
2026-05-22 15:15:00,GBPUSD,BUY,+7,STRONG BUY,UP,11,58,UP,24,1.34508,,
2026-05-22 15:15:00,NZDUSD,BUY,+7,STRONG BUY,UP,17,62,UP,16,0.58641,,
2026-05-22 16:15:00,USDJPY,BUY,+7,STRONG BUY,UP,11,59,UP,17,159.16700,,
2026-05-22 22:30:00,USDCAD,BUY,+7,STRONG BUY,UP,23,56,UP,14,1.38146,,
2026-05-23 00:30:01,USDCAD,BUY,+6,BUY,UP,25,65,NONE,14,1.38169,,
2026-05-23 02:30:02,USDCAD,BUY,+6,STRONG BUY,UP,26,65,NONE,12,1.38169,,
2026-05-23 04:45:01,USDCAD,BUY,+6,STRONG BUY,UP,27,65,NONE,10,1.38169,,
2026-05-23 06:45:01,USDCAD,BUY,+7,STRONG BUY,UP,28,65,NONE,9,1.38169,,
2026-05-23 08:45:01,USDCAD,BUY,+7,STRONG BUY,UP,29,65,NONE,9,1.38169,,
2026-05-23 11:00:01,USDCAD,BUY,+7,STRONG BUY,UP,30,65,NONE,9,1.38169,,
2026-05-23 13:15:01,USDCAD,BUY,+7,STRONG BUY,UP,30,65,NONE,9,1.38169,,
2026-05-23 15:30:02,USDCAD,BUY,+7,STRONG BUY,UP,30,65,NONE,9,1.38169,,
2026-05-23 17:45:01,USDCAD,BUY,+7,STRONG BUY,UP,31,65,NONE,9,1.38169,,
2026-05-23 20:00:01,USDCAD,BUY,+7,STRONG BUY,UP,31,65,NONE,9,1.38169,,
2026-05-23 22:00:01,USDCAD,BUY,+7,STRONG BUY,UP,32,65,NONE,9,1.38169,,
2026-05-24 00:15:01,USDCAD,BUY,+7,STRONG BUY,UP,32,65,NONE,9,1.38169,,
2026-05-24 02:15:01,USDCAD,BUY,+7,STRONG BUY,UP,32,65,NONE,9,1.38169,,
2026-05-24 04:15:01,USDCAD,BUY,+7,STRONG BUY,UP,32,65,NONE,9,1.38169,,
2026-05-24 06:30:01,USDCAD,BUY,+7,STRONG BUY,UP,32,65,NONE,9,1.38169,,
2026-05-24 08:30:02,USDCAD,BUY,+7,STRONG BUY,UP,33,65,NONE,9,1.38169,,
2026-05-24 10:45:01,USDCAD,BUY,+7,STRONG BUY,UP,33,65,NONE,9,1.38169,,
2026-05-24 13:00:01,USDCAD,BUY,+7,STRONG BUY,UP,33,65,NONE,9,1.38169,,
2026-05-24 15:00:01,USDCAD,BUY,+7,STRONG BUY,UP,33,65,NONE,9,1.38169,,
2026-05-24 21:00:02,USDCAD,BUY,+7,STRONG BUY,UP,33,65,NONE,9,1.38169,,
2026-05-25 00:00:01,GBPCAD,BUY,+7,STRONG BUY,UP,41,42,NONE,9,1.85752,,
2026-05-25 00:00:01,USDCHF,SELL,-7,STRONG SELL,DOWN,28,40,NONE,9,0.78430,,
2026-05-25 00:15:00,AUDJPY,BUY,+7,STRONG BUY,FLAT,3,63,UP,9,113.71400,,
2026-05-25 03:15:00,AUDUSD,BUY,+9,STRONG BUY,UP,27,45,UP,9,0.71669,,
2026-05-25 03:15:00,GBPUSD,BUY,+7,STRONG BUY,UP,29,58,NONE,9,1.34865,,
2026-05-25 03:15:00,NZDUSD,BUY,+7,STRONG BUY,UP,33,50,NONE,9,0.58788,,
2026-05-25 03:30:00,AUDJPY,BUY,+6,STRONG BUY,UP,21,59,UP,9,113.87700,,
2026-05-25 16:45:00,CADJPY,BUY,+6,STRONG BUY,FLAT,48,51,UP,9,115.15300,,
2026-05-26 00:15:00,AUDJPY,BUY,+7,STRONG BUY,UP,46,43,NONE,9,113.99400,,
2026-05-26 00:15:00,EURGBP,SELL,-7,STRONG SELL,DOWN,34,50,NONE,9,0.86197,,
2026-05-26 00:15:00,GBPJPY,BUY,+7,STRONG BUY,UP,33,73,NONE,12,214.59100,,
2026-05-26 02:30:00,EURAUD,SELL,-7,STRONG SELL,DOWN,37,74,NONE,11,1.62320,,
2026-05-26 03:00:00,AUDUSD,BUY,+6,STRONG BUY,UP,48,42,NONE,9,0.71698,,
2026-05-26 03:45:00,GBPNZD,BUY,+7,STRONG BUY,UP,20,66,UP,27,2.30421,,
2026-05-26 08:30:00,AUDJPY,BUY,+7,STRONG BUY,UP,32,79,NONE,9,113.96300,,
2026-05-26 08:45:00,AUDUSD,BUY,+6,STRONG BUY,UP,36,72,NONE,9,0.71673,,
2026-05-26 08:45:00,GBPJPY,BUY,+6,STRONG BUY,UP,26,41,NONE,16,214.44800,,
2026-05-26 09:15:00,CADJPY,BUY,+10,STRONG BUY,UP,34,64,UP,9,115.24800,,
2026-05-26 13:45:00,USDCAD,BUY,+7,STRONG BUY,FLAT,23,75,UP,9,1.38106,,
