SignalTime,Instrument,Direction,Score,Strike,EntryPrice,BarrierPrice,ExitTime,Result,TimeToTouch_min,MAE_pips,MFE_pips
2026-05-20 23:15:01,NZDUSD,BUY,+7,13,0.58641,0.58771,2026-05-21 23:00:00,LOSS,329,14.3,10.0
2026-05-20 23:30:00,EURGBP,SELL,-6,9,0.86482,0.86392,2026-05-21 23:00:00,REFUND,-1,8.3,8.8
2026-05-21 10:15:00,NZDUSD,BUY,+8,19,0.58694,0.58884,2026-05-21 23:00:00,LOSS,139,19.2,4.5
2026-05-21 10:15:00,USDCHF,SELL,-10,10,0.78652,0.78552,2026-05-21 23:00:00,LOSS,134,13.0,6.5
2026-05-21 10:30:00,GBPCHF,SELL,-7,13,1.05633,1.05503,2026-05-21 23:00:00,LOSS,129,13.2,0.6
2026-05-21 12:45:00,CADJPY,BUY,+7,13,115.56900,115.69900,2026-05-21 23:00:00,LOSS,214,14.6,6.1
2026-05-21 14:00:00,USDJPY,BUY,+6,21,159.15400,159.36400,2026-05-21 23:00:00,LOSS,314,23.1,19.6
2026-05-21 16:00:00,GBPNZD,SELL,-7,52,2.28804,2.28284,2026-05-21 23:00:00,REFUND,-1,20.1,43.2
2026-05-21 17:00:00,AUDJPY,BUY,+8,27,113.58000,113.85000,2026-05-21 23:00:00,WIN,154,14.5,27.1
2026-05-21 18:15:00,GBPAUD,SELL,-7,39,1.87846,1.87456,2026-05-21 23:00:00,REFUND,-1,7.7,28.7
2026-05-21 19:15:00,AUDJPY,BUY,+7,24,113.64800,113.88800,2026-05-21 23:00:00,REFUND,-1,3.8,21.9
2026-05-21 19:15:00,GBPUSD,BUY,+6,30,1.34187,1.34487,2026-05-21 23:00:00,WIN,34,0.0,30.2
2026-05-21 19:15:00,NZDUSD,BUY,+7,20,0.58668,0.58868,2026-05-21 23:00:00,WIN,34,0.1,20.4
2026-05-21 19:45:00,GBPJPY,BUY,+6,34,213.59300,213.93300,2026-05-21 23:00:00,REFUND,-1,12.1,11.0
2026-05-21 19:45:00,GBPNZD,SELL,-6,50,2.28394,2.27894,2026-05-21 23:00:00,REFUND,-1,35.0,2.2
2026-05-22 09:15:00,USDCAD,BUY,+6,12,1.37937,1.38057,2026-05-22 23:00:00,WIN,309,10.5,12.8
2026-05-22 10:45:00,EURCAD,SELL,-6,21,1.60019,1.59809,2026-05-22 23:00:00,LOSS,264,23.1,7.7
2026-05-22 11:15:00,GBPCHF,SELL,-9,9,1.05516,1.05426,2026-05-22 23:00:00,LOSS,99,9.0,1.0
2026-05-22 12:30:00,USDCAD,BUY,+6,15,1.37958,1.38108,2026-05-22 23:00:00,WIN,224,5.4,16.5
2026-05-22 14:00:00,GBPCHF,SELL,-7,9,1.05527,1.05437,2026-05-22 23:00:00,LOSS,64,11.8,7.2
2026-05-22 15:15:00,AUDUSD,BUY,+7,14,0.71391,0.71531,2026-05-22 23:00:00,LOSS,29,16.0,0.5
2026-05-22 15:15:00,GBPCAD,BUY,+7,28,1.85525,1.85805,2026-05-22 23:00:00,REFUND,-1,24.9,25.8
2026-05-22 15:15:00,GBPUSD,BUY,+7,24,1.34508,1.34748,2026-05-22 23:00:00,LOSS,44,30.5,1.8
2026-05-22 15:15:00,NZDUSD,BUY,+7,16,0.58641,0.58801,2026-05-22 23:00:00,LOSS,44,18.9,0.7
2026-05-22 16:15:00,USDJPY,BUY,+7,17,159.16700,159.33700,2026-05-22 23:00:00,REFUND,-1,10.5,6.5
2026-05-22 22:30:00,USDCAD,BUY,+7,14,1.38146,1.38286,2026-05-22 23:00:00,REFUND,-1,0.2,9.1
2026-05-24 21:00:02,USDCAD,BUY,+7,9,1.38169,1.38259,2026-05-25 23:00:00,LOSS,119,19.9,0.0
2026-05-25 00:00:01,GBPCAD,BUY,+7,9,1.85752,1.85842,2026-05-25 23:00:00,WIN,0,0.0,31.8
2026-05-25 00:00:01,USDCHF,SELL,-7,9,0.78430,0.78340,2026-05-25 23:00:00,WIN,0,1.1,14.0
2026-05-25 00:15:00,AUDJPY,BUY,+7,9,113.71400,113.80400,2026-05-25 23:00:00,WIN,89,6.4,9.3
2026-05-25 03:15:00,AUDUSD,BUY,+9,9,0.71669,0.71759,2026-05-25 23:00:00,LOSS,359,15.2,5.5
2026-05-25 03:15:00,GBPUSD,BUY,+7,9,1.34865,1.34955,2026-05-25 23:00:00,LOSS,94,9.3,3.6
2026-05-25 03:15:00,NZDUSD,BUY,+7,9,0.58788,0.58878,2026-05-25 23:00:00,LOSS,149,9.3,2.6
2026-05-25 03:30:00,AUDJPY,BUY,+6,9,113.87700,113.96700,2026-05-25 23:00:00,LOSS,0,10.5,0.0
2026-05-25 16:45:00,CADJPY,BUY,+6,9,115.15300,115.24300,2026-05-25 23:00:00,REFUND,-1,6.4,3.7
2026-05-26 00:15:00,AUDJPY,BUY,+7,9,113.99400,114.08400,2026-05-26 23:00:00,LOSS,104,9.2,5.3
2026-05-26 00:15:00,EURGBP,SELL,-7,9,0.86197,0.86107,2026-05-26 23:00:00,LOSS,439,9.0,0.5
2026-05-26 00:15:00,GBPJPY,BUY,+7,12,214.59100,214.71100,2026-05-26 23:00:00,LOSS,104,12.4,3.3
2026-05-26 02:30:00,EURAUD,SELL,-7,11,1.62320,1.62210,2026-05-26 23:00:00,LOSS,269,16.8,8.8
2026-05-26 03:00:00,AUDUSD,BUY,+6,9,0.71698,0.71788,2026-05-26 23:00:00,LOSS,234,9.3,2.2
2026-05-26 03:45:00,GBPNZD,BUY,+7,27,2.30421,2.30691,2026-05-26 23:00:00,LOSS,809,27.2,25.2
2026-05-26 08:30:00,AUDJPY,BUY,+7,9,113.96300,114.05300,2026-05-26 23:00:00,WIN,89,7.1,10.0
2026-05-26 08:45:00,AUDUSD,BUY,+6,9,0.71673,0.71763,2026-05-26 23:00:00,LOSS,14,9.3,0.6
