Timestamp,Instrument,Direction,Score,Signal,Trend,ADX,ATR_Percentile,Breakout,Strike,Bid,Result,Notes
2026-05-17 23:05:17,GBPCHF,SELL,-8,STRONG SELL,DOWN,69,70,DOWN,13,1.04722,,
2026-05-17 23:15:01,GBPCAD,SELL,-8,STRONG SELL,DOWN,62,77,DOWN,30,1.82965,,
2026-05-17 23:20:17,GBPAUD,SELL,-6,STRONG SELL,DOWN,21,77,DOWN,44,1.86092,,
2026-05-18 00:20:17,EURGBP,BUY,+6,STRONG BUY,UP,46,61,,10,0.87269,,
2026-05-18 00:25:17,GBPUSD,SELL,-8,STRONG SELL,DOWN,64,75,DOWN,24,1.33129,,
2026-05-18 02:30:17,NZDUSD,SELL,-8,STRONG SELL,DOWN,56,73,DOWN,11,0.58294,,
2026-05-18 02:45:00,EURUSD,SELL,-8,STRONG SELL,DOWN,74,72,DOWN,13,1.16106,,
2026-05-18 05:30:00,CADJPY,BUY,+6,STRONG BUY,UP,21,55,UP,20,115.55700,,
2026-05-18 05:55:17,EURJPY,BUY,+6,STRONG BUY,FLAT,60,52,UP,18,184.75900,,
2026-05-18 08:55:17,USDCHF,SELL,-7,STRONG SELL,FLAT,49,49,DOWN,9,0.78540,,
2026-05-18 09:35:17,NZDUSD,BUY,+6,STRONG BUY,FLAT,56,49,UP,10,0.58534,,
2026-05-18 10:35:17,GBPJPY,BUY,+6,STRONG BUY,FLAT,57,49,UP,28,212.43200,,
2026-05-18 10:35:17,USDCAD,SELL,-6,STRONG SELL,FLAT,37,51,DOWN,11,1.37357,,
2026-05-18 13:40:17,NZDUSD,BUY,+7,STRONG BUY,FLAT,53,72,UP,11,0.58629,,
2026-05-18 13:40:17,AUDJPY,BUY,+6,STRONG BUY,FLAT,48,76,UP,22,113.78100,,
2026-05-18 13:40:17,EURJPY,BUY,+6,STRONG BUY,FLAT,57,48,UP,18,184.95500,,
2026-05-18 13:45:00,AUDUSD,BUY,+7,STRONG BUY,FLAT,47,49,UP,12,0.71652,,
2026-05-18 14:46:47,GBPNZD,SELL,-7,STRONG SELL,DOWN,17,47,DOWN,47,2.27911,,
2026-05-18 16:25:17,EURGBP,SELL,-6,STRONG SELL,FLAT,39,49,DOWN,9,0.86927,,
2026-05-18 16:30:00,GBPJPY,BUY,+6,STRONG BUY,FLAT,53,64,UP,32,212.82100,,
2026-05-18 17:40:17,GBPUSD,BUY,+7,STRONG BUY,FLAT,58,80,UP,25,1.34082,,
2026-05-18 18:20:17,EURJPY,BUY,+8,STRONG BUY,UP,52,52,UP,18,185.06400,,
2026-05-18 23:10:17,USDCAD,SELL,-7,STRONG SELL,FLAT,32,76,DOWN,13,1.37316,,
2026-05-18 23:45:00,EURJPY,BUY,+6,STRONG BUY,UP,48,53,,18,185.08700,,
2026-05-19 09:25:17,EURCAD,SELL,-8,STRONG SELL,DOWN,43,41,DOWN,13,1.59851,,
2026-05-19 10:15:00,EURUSD,SELL,-8,STRONG SELL,DOWN,51,48,DOWN,12,1.16280,,
2026-05-19 10:40:36,USDCHF,BUY,+6,STRONG BUY,UP,33,46,UP,9,0.78632,,
2026-05-19 14:45:00,AUDJPY,SELL,-6,STRONG SELL,DOWN,37,49,DOWN,20,113.12600,,
2026-05-19 15:20:17,EURUSD,SELL,-8,STRONG SELL,DOWN,50,42,DOWN,11,1.16079,,
2026-05-19 15:25:17,NZDUSD,SELL,-9,STRONG SELL,DOWN,37,40,DOWN,10,0.58281,,
2026-05-19 15:25:17,EURCAD,SELL,-6,STRONG SELL,DOWN,41,57,,15,1.59771,,
2026-05-19 15:28:33,USDCHF,BUY,+10,STRONG BUY,UP,34,69,UP,11,0.78920,,
2026-05-19 15:30:00,USDJPY,BUY,+6,STRONG BUY,UP,11,43,UP,22,159.18200,,
2026-05-19 15:50:17,GBPAUD,BUY,+6,STRONG BUY,UP,34,52,UP,28,1.88579,,
2026-05-19 16:20:17,AUDUSD,SELL,-6,STRONG SELL,DOWN,33,47,DOWN,12,0.70929,,
2026-05-19 16:28:35,GBPUSD,SELL,-7,STRONG SELL,FLAT,45,40,DOWN,19,1.33819,,
2026-05-19 16:58:35,GBPCHF,BUY,+7,STRONG BUY,FLAT,51,65,UP,12,1.05866,,
2026-05-19 17:00:00,EURGBP,SELL,-7,STRONG SELL,FLAT,43,40,DOWN,9,0.86578,,
2026-05-19 20:55:17,EURUSD,SELL,-6,STRONG SELL,DOWN,50,75,,14,1.16032,,
2026-05-19 23:00:00,GBPCAD,SELL,-6,STRONG SELL,FLAT,44,71,DOWN,28,1.84014,,
2026-05-19 23:04:11,NZDUSD,SELL,-6,STRONG SELL,DOWN,36,57,,11,0.58224,,
2026-05-20 03:29:11,NZDUSD,SELL,-8,STRONG SELL,DOWN,36,66,DOWN,12,0.58162,,
2026-05-20 16:19:11,AUDUSD,BUY,+7,STRONG BUY,FLAT,38,50,UP,14,0.71382,,
2026-05-20 16:19:11,GBPUSD,BUY,+7,STRONG BUY,FLAT,30,60,UP,21,1.34182,,
2026-05-20 16:19:11,NZDUSD,BUY,+7,STRONG BUY,FLAT,34,74,UP,13,0.58536,,
2026-05-20 16:54:11,EURAUD,SELL,-7,STRONG SELL,FLAT,28,47,DOWN,28,1.62468,,
2026-05-20 16:59:11,EURCAD,SELL,-7,STRONG SELL,DOWN,43,58,,15,1.59630,,
2026-05-20 16:59:11,USDCHF,SELL,-7,STRONG SELL,FLAT,42,67,DOWN,11,0.78712,,
2026-05-20 17:16:18,GBPCAD,BUY,+7,STRONG BUY,FLAT,38,63,UP,27,1.84870,,
2026-05-20 17:24:11,GBPCHF,BUY,+6,STRONG BUY,UP,46,48,,11,1.05821,,
2026-05-21 03:54:31,AUDJPY,SELL,-6,STRONG SELL,DOWN,34,64,DOWN,22,113.02600,,
2026-05-21 03:54:31,GBPAUD,BUY,+6,STRONG BUY,UP,38,49,UP,29,1.88808,,
2026-05-21 04:34:31,AUDUSD,SELL,-6,STRONG SELL,DOWN,32,65,DOWN,16,0.71064,,
2026-05-21 05:56:43,USDJPY,BUY,+6,BUY,UP,18,41,UP,25,158.97900,,
2026-05-21 12:27:19,EURUSD,SELL,-7,STRONG SELL,DOWN,38,65,,14,1.16130,,
2026-05-21 12:39:31,EURCAD,SELL,-7,STRONG SELL,DOWN,36,55,,16,1.59758,,
2026-05-21 14:27:30,USDCHF,BUY,+8,STRONG BUY,UP,30,68,UP,15,0.78890,,
2026-05-21 15:14:31,GBPUSD,SELL,-8,STRONG SELL,DOWN,28,50,DOWN,24,1.34067,,
2026-05-21 19:19:31,GBPCAD,BUY,+7,STRONG BUY,UP,35,55,,25,1.84982,,
2026-05-21 19:24:31,AUDUSD,BUY,+7,STRONG BUY,FLAT,27,44,UP,18,0.71561,,
2026-05-21 19:34:31,AUDJPY,BUY,+6,STRONG BUY,FLAT,31,79,UP,24,113.81700,,
2026-05-21 19:57:42,GBPJPY,BUY,+6,STRONG BUY,UP,25,45,,32,213.58300,,
2026-05-21 20:54:31,USDCAD,BUY,+6,STRONG BUY,UP,26,58,,16,1.37807,,
2026-05-21 23:54:31,GBPCHF,SELL,-7,STRONG SELL,FLAT,39,69,DOWN,12,1.05581,,
2026-05-22 18:30:38,USDCHF,SELL,-7,STRONG SELL,FLAT,21,48,DOWN,17,0.78442,,
2026-05-22 18:39:31,GBPCHF,SELL,-7,STRONG SELL,FLAT,29,46,DOWN,12,1.05454,,
2026-05-22 19:44:31,GBPCAD,BUY,+8,STRONG BUY,UP,38,43,UP,22,1.85767,,
2026-05-22 23:00:01,EURGBP,SELL,-6,STRONG SELL,DOWN,60,40,,9,0.86333,,
2026-05-22 23:00:01,GBPCHF,SELL,-6,STRONG SELL,FLAT,28,68,DOWN,14,1.05393,,
2026-05-22 23:00:01,USDCAD,BUY,+6,STRONG BUY,UP,35,69,,12,1.38169,,
2026-05-23 03:00:01,EURGBP,SELL,-6,STRONG SELL,DOWN,60,40,,9,0.86333,,
2026-05-23 03:00:02,GBPCHF,SELL,-6,STRONG SELL,FLAT,27,68,DOWN,14,1.05393,,
2026-05-23 03:00:02,USDCAD,BUY,+6,STRONG BUY,UP,37,69,,12,1.38169,,
2026-05-23 07:04:31,EURGBP,SELL,-6,STRONG SELL,DOWN,61,40,,9,0.86333,,
2026-05-23 07:04:31,GBPCHF,SELL,-6,STRONG SELL,FLAT,26,68,DOWN,14,1.05393,,
2026-05-23 07:04:31,USDCAD,BUY,+6,STRONG BUY,UP,38,69,,12,1.38169,,
2026-05-23 11:04:31,EURGBP,SELL,-6,STRONG SELL,DOWN,62,40,,9,0.86333,,
2026-05-23 11:04:31,GBPCHF,SELL,-6,STRONG SELL,FLAT,26,68,DOWN,14,1.05393,,
2026-05-23 11:04:31,USDCAD,BUY,+6,STRONG BUY,UP,40,69,,12,1.38169,,
2026-05-23 15:04:31,EURGBP,SELL,-6,STRONG SELL,DOWN,63,40,,9,0.86333,,
2026-05-23 15:04:31,GBPCHF,SELL,-6,STRONG SELL,FLAT,25,68,DOWN,14,1.05393,,
2026-05-23 15:04:31,USDCAD,BUY,+6,STRONG BUY,UP,41,69,,12,1.38169,,
