SignalTime,Instrument,Direction,Score,Strike,EntryPrice,BarrierPrice,ExitTime,Result,TimeToTouch_min,MAE_pips,MFE_pips
2026-05-21 03:54:31,AUDJPY,SELL,-6,22,113.02600,112.80600,2026-05-21 23:00:00,LOSS,-4,23.1,3.7
2026-05-21 03:54:31,GBPAUD,BUY,+6,29,1.88808,1.89098,2026-05-21 23:00:00,LOSS,-4,29.9,5.7
2026-05-21 04:34:31,AUDUSD,SELL,-6,16,0.71064,0.70904,2026-05-21 23:00:00,LOSS,95,16.2,7.0
2026-05-21 05:56:43,USDJPY,BUY,+6,25,158.97900,159.22900,2026-05-21 23:00:00,WIN,558,7.7,27.0
2026-05-21 12:27:19,EURUSD,SELL,-7,14,1.16130,1.15990,2026-05-21 23:00:00,WIN,87,8.5,17.3
2026-05-21 12:39:31,EURCAD,SELL,-7,16,1.59758,1.59598,2026-05-21 23:00:00,WIN,180,6.7,17.5
2026-05-21 14:27:30,USDCHF,BUY,+8,15,0.78890,0.79040,2026-05-21 23:00:00,LOSS,287,20.2,14.6
2026-05-21 15:14:31,GBPUSD,SELL,-8,24,1.34067,1.33827,2026-05-21 23:00:00,LOSS,240,28.8,15.2
2026-05-21 19:19:31,GBPCAD,BUY,+7,25,1.84982,1.85232,2026-05-21 23:00:00,WIN,30,4.9,25.3
2026-05-21 19:24:31,AUDUSD,BUY,+7,18,0.71561,0.71741,2026-05-21 23:00:00,REFUND,-1,13.2,12.0
2026-05-21 19:34:31,AUDJPY,BUY,+6,24,113.81700,114.05700,2026-05-21 23:00:00,REFUND,-1,20.7,5.0
2026-05-21 19:57:42,GBPJPY,BUY,+6,32,213.58300,213.90300,2026-05-21 23:00:00,REFUND,-1,11.1,12.0
2026-05-21 20:54:31,USDCAD,BUY,+6,16,1.37807,1.37967,2026-05-21 23:00:00,REFUND,-1,6.5,4.0
2026-05-21 23:54:31,GBPCHF,SELL,-7,12,1.05581,1.05461,2026-05-22 23:00:00,WIN,860,8.4,12.6
2026-05-22 18:30:38,USDCHF,SELL,-7,17,0.78442,0.78272,2026-05-22 23:00:00,REFUND,-1,7.7,6.4
2026-05-22 18:39:31,GBPCHF,SELL,-7,12,1.05454,1.05334,2026-05-22 23:00:00,REFUND,-1,4.9,6.1
2026-05-22 19:44:31,GBPCAD,BUY,+8,22,1.85767,1.85987,2026-05-22 23:00:00,LOSS,105,22.2,1.6
