Timestamp,Instrument,Direction,Score,Signal,Trend,ADX,ATR_Percentile,Breakout,Strike,Bid,Result,Notes
2026-05-31 21:45:01,EURGBP,SELL,-7,STRONG SELL,DOWN,33,45,NONE,9,0.86617,,
2026-05-31 21:45:01,EURUSD,SELL,-7,STRONG SELL,UP,16,43,DOWN,9,1.16546,,
2026-05-31 21:45:01,GBPCHF,SELL,-7,STRONG SELL,DOWN,28,72,NONE,9,1.05064,,
2026-06-01 00:15:00,AUDJPY,BUY,+7,STRONG BUY,UP,41,58,NONE,9,114.38400,,
2026-06-01 01:15:00,AUDUSD,BUY,+6,STRONG BUY,UP,38,63,NONE,9,0.71823,,
2026-06-01 02:15:00,USDJPY,BUY,+7,STRONG BUY,UP,34,72,NONE,9,159.40800,,
2026-06-01 03:15:00,AUDJPY,BUY,+10,STRONG BUY,UP,38,67,UP,9,114.54800,,
2026-06-01 05:30:00,AUDJPY,BUY,+7,STRONG BUY,UP,39,58,NONE,9,114.56000,,
2026-06-01 11:15:00,EURGBP,SELL,-6,STRONG SELL,DOWN,49,50,NONE,9,0.86521,,
2026-06-01 16:15:00,EURGBP,SELL,-6,STRONG SELL,DOWN,47,61,NONE,9,0.86540,,
2026-06-01 20:00:00,EURJPY,BUY,+7,STRONG BUY,UP,26,72,UP,16,185.72700,,
2026-06-02 02:45:00,USDJPY,BUY,+8,STRONG BUY,UP,44,40,UP,9,159.69400,,
2026-06-02 03:15:00,AUDUSD,BUY,+7,STRONG BUY,FLAT,23,53,UP,9,0.71659,,
2026-06-02 08:45:00,AUDUSD,BUY,+7,STRONG BUY,FLAT,19,42,UP,11,0.71747,,
2026-06-02 09:15:00,AUDJPY,BUY,+6,STRONG BUY,FLAT,16,59,UP,12,114.68800,,
2026-06-02 09:15:00,GBPAUD,SELL,-7,STRONG SELL,FLAT,48,47,DOWN,19,1.87616,,
2026-06-02 09:45:00,GBPJPY,BUY,+6,BUY,UP,25,52,NONE,22,215.22100,,
2026-06-02 11:15:00,EURGBP,SELL,-7,STRONG SELL,DOWN,44,54,NONE,9,0.86444,,
2026-06-02 11:30:00,USDCAD,BUY,+9,STRONG BUY,UP,30,49,UP,9,1.38516,,
2026-06-02 12:15:00,GBPCAD,BUY,+7,STRONG BUY,UP,21,45,UP,24,1.86591,,
2026-06-02 15:15:00,CADJPY,BUY,+7,STRONG BUY,FLAT,19,59,UP,11,115.52400,,
2026-06-02 15:45:00,GBPCHF,BUY,+10,STRONG BUY,UP,37,63,UP,9,1.05889,,
2026-06-02 16:15:00,AUDJPY,BUY,+6,BUY,UP,24,46,NONE,12,114.70700,,
2026-06-02 16:15:00,EURGBP,SELL,-6,STRONG SELL,DOWN,38,53,NONE,9,0.86426,,
2026-06-02 16:15:00,EURJPY,BUY,+6,BUY,UP,23,68,NONE,16,186.07900,,
2026-06-02 16:45:00,GBPUSD,BUY,+8,STRONG BUY,UP,19,72,UP,19,1.34784,,
2026-06-02 17:00:00,AUDUSD,BUY,+8,STRONG BUY,UP,23,72,UP,10,0.71845,,
2026-06-02 17:15:00,USDJPY,BUY,+8,STRONG BUY,UP,35,53,UP,9,159.87700,,
2026-06-02 19:45:00,GBPCHF,BUY,+8,STRONG BUY,UP,36,64,UP,10,1.06040,,
2026-06-02 20:15:00,EURUSD,SELL,-6,STRONG SELL,DOWN,21,76,DOWN,14,1.16183,,
2026-06-02 20:15:00,USDJPY,BUY,+8,STRONG BUY,UP,39,41,UP,9,159.97300,,
2026-06-02 23:15:00,EURGBP,SELL,-7,STRONG SELL,DOWN,41,43,NONE,9,0.86329,,
2026-06-02 23:30:00,USDCAD,BUY,+6,BUY,UP,24,62,NONE,14,1.38362,,
2026-06-03 01:45:00,GBPCHF,BUY,+8,STRONG BUY,UP,32,53,UP,10,1.06036,,
2026-06-03 03:30:00,GBPUSD,BUY,+7,STRONG BUY,UP,23,47,UP,16,1.34671,,
2026-06-03 08:45:00,EURUSD,SELL,-7,STRONG SELL,DOWN,31,56,NONE,9,1.16143,,
2026-06-03 09:30:00,USDJPY,BUY,+7,STRONG BUY,UP,30,71,NONE,9,159.95700,,
2026-06-03 09:45:00,EURGBP,SELL,-10,STRONG SELL,DOWN,37,45,DOWN,9,0.86324,,
2026-06-03 14:45:00,USDCAD,BUY,+7,STRONG BUY,UP,17,70,UP,15,1.38643,,
2026-06-03 15:00:00,EURUSD,SELL,-6,STRONG SELL,DOWN,36,77,NONE,11,1.16004,,
