SignalTime,Instrument,Direction,Score,Strike,EntryPrice,ExpiryPrice,ExpiryTime,Result,Spread_pips,MAE_pips,MFE_pips
2026-05-31 21:45:01,EURGBP,SELL,-7,9,0.86617,0.00000,2026-05-31 22:45:01,INVALID,0.0,0.0,0.0
2026-05-31 21:45:01,EURUSD,SELL,-7,9,1.16546,0.00000,2026-05-31 22:45:01,INVALID,0.0,0.0,0.0
2026-05-31 21:45:01,GBPCHF,SELL,-7,9,1.05064,0.00000,2026-05-31 22:45:01,INVALID,0.0,0.0,0.0
2026-06-01 00:15:00,AUDJPY,BUY,+7,9,114.38400,114.46900,2026-06-01 01:15:00,WIN,1.5,0.8,9.9
2026-06-01 01:15:00,AUDUSD,BUY,+6,9,0.71823,0.71813,2026-06-01 02:15:00,LOSS,1.5,4.4,1.1
2026-06-01 02:15:00,USDJPY,BUY,+7,9,159.40800,159.48400,2026-06-01 03:15:00,WIN,1.5,0.8,7.7
2026-06-01 03:15:00,AUDJPY,BUY,+10,9,114.54800,114.59500,2026-06-01 04:15:00,WIN,1.5,0.5,8.3
2026-06-01 05:30:00,AUDJPY,BUY,+7,9,114.56000,114.57100,2026-06-01 06:30:00,LOSS,1.5,8.4,1.8
2026-06-01 11:15:00,EURGBP,SELL,-6,9,0.86521,0.86555,2026-06-01 12:15:00,LOSS,1.5,4.6,0.4
2026-06-01 16:15:00,EURGBP,SELL,-6,9,0.86540,0.86460,2026-06-01 17:15:00,WIN,1.5,0.2,9.2
2026-06-01 20:00:00,EURJPY,BUY,+7,16,185.72700,185.77700,2026-06-01 21:00:00,WIN,1.5,2.2,9.2
2026-06-02 02:45:00,USDJPY,BUY,+8,9,159.69400,159.70700,2026-06-02 03:45:00,LOSS,1.5,5.9,2.9
2026-06-02 03:15:00,AUDUSD,BUY,+7,9,0.71659,0.71577,2026-06-02 04:15:00,LOSS,1.5,13.5,1.1
2026-06-02 08:45:00,AUDUSD,BUY,+7,11,0.71747,0.71822,2026-06-02 09:45:00,WIN,1.5,0.2,8.4
2026-06-02 09:15:00,AUDJPY,BUY,+6,12,114.68800,114.70900,2026-06-02 10:15:00,WIN,1.5,4.0,5.4
2026-06-02 09:15:00,GBPAUD,SELL,-7,19,1.87616,1.87492,2026-06-02 10:15:00,WIN,1.5,4.1,16.1
2026-06-02 09:45:00,GBPJPY,BUY,+6,22,215.22100,215.04400,2026-06-02 10:45:00,LOSS,1.5,18.7,1.1
2026-06-02 11:15:00,EURGBP,SELL,-7,9,0.86444,0.86418,2026-06-02 12:15:00,WIN,1.5,2.5,3.6
2026-06-02 11:30:00,USDCAD,BUY,+9,9,1.38516,1.38516,2026-06-02 12:30:00,LOSS,1.5,4.3,0.3
2026-06-02 12:15:00,GBPCAD,BUY,+7,24,1.86591,1.86528,2026-06-02 13:15:00,LOSS,1.5,9.3,0.7
2026-06-02 15:15:00,CADJPY,BUY,+7,11,115.52400,115.52600,2026-06-02 16:15:00,LOSS,1.5,4.3,13.9
2026-06-02 15:45:00,GBPCHF,BUY,+10,9,1.05889,1.05952,2026-06-02 16:45:00,WIN,1.5,0.0,9.5
2026-06-02 16:15:00,AUDJPY,BUY,+6,12,114.70700,114.89600,2026-06-02 17:15:00,WIN,1.5,6.1,19.2
2026-06-02 16:15:00,EURGBP,SELL,-6,9,0.86426,0.86381,2026-06-02 17:15:00,WIN,1.5,2.1,5.4
2026-06-02 16:15:00,EURJPY,BUY,+6,16,186.07900,186.12700,2026-06-02 17:15:00,WIN,1.5,4.9,10.0
2026-06-02 16:45:00,GBPUSD,BUY,+8,19,1.34784,1.34757,2026-06-02 17:45:00,LOSS,1.5,10.2,1.5
2026-06-02 17:00:00,AUDUSD,BUY,+8,10,0.71845,0.71841,2026-06-02 18:00:00,LOSS,1.5,3.9,3.1
2026-06-02 17:15:00,USDJPY,BUY,+8,9,159.87700,159.89400,2026-06-02 18:15:00,WIN,1.5,1.2,2.3
2026-06-02 19:45:00,GBPCHF,BUY,+8,10,1.06040,1.06041,2026-06-02 20:45:00,LOSS,1.5,2.4,2.8
2026-06-02 20:15:00,EURUSD,SELL,-6,14,1.16183,1.16312,2026-06-02 21:15:00,LOSS,1.5,14.5,4.9
2026-06-02 20:15:00,USDJPY,BUY,+8,9,159.97300,159.90700,2026-06-02 21:15:00,LOSS,1.5,8.5,1.4
2026-06-02 23:15:00,EURGBP,SELL,-7,9,0.86329,0.86355,2026-06-03 00:15:00,LOSS,1.5,5.5,0.3
2026-06-02 23:30:00,USDCAD,BUY,+6,14,1.38362,1.38394,2026-06-03 00:30:00,WIN,1.5,1.4,5.3
2026-06-03 01:45:00,GBPCHF,BUY,+8,10,1.06036,1.06071,2026-06-03 02:45:00,WIN,1.5,0.4,4.2
2026-06-03 03:30:00,GBPUSD,BUY,+7,16,1.34671,1.34673,2026-06-03 04:30:00,LOSS,1.5,3.1,4.8
2026-06-03 08:45:00,EURUSD,SELL,-7,9,1.16143,1.16215,2026-06-03 09:45:00,LOSS,1.5,10.1,1.5
2026-06-03 09:30:00,USDJPY,BUY,+7,9,159.95700,159.67400,2026-06-03 10:30:00,LOSS,1.5,59.2,1.0
2026-06-03 09:45:00,EURGBP,SELL,-10,9,0.86324,0.86341,2026-06-03 10:45:00,LOSS,1.5,2.7,1.1
2026-06-03 14:45:00,USDCAD,BUY,+7,15,1.38643,1.38719,2026-06-03 15:45:00,WIN,1.5,1.7,10.3
2026-06-03 15:00:00,EURUSD,SELL,-6,11,1.16004,1.16033,2026-06-03 16:00:00,LOSS,1.5,6.3,3.2
2026-06-03 16:30:00,USDJPY,BUY,+6,14,159.97400,159.96800,2026-06-03 17:30:00,LOSS,1.5,5.8,2.0
2026-06-03 19:15:01,USDJPY,BUY,+6,17,160.01000,160.04000,2026-06-03 20:15:01,WIN,1.5,0.5,3.9
2026-06-03 20:15:00,USDCAD,BUY,+8,14,1.38987,1.38925,2026-06-03 21:15:00,LOSS,1.5,7.0,0.8
2026-06-04 02:15:00,GBPUSD,SELL,-6,14,1.34263,1.34253,2026-06-04 03:15:00,LOSS,1.5,5.3,4.0
2026-06-04 10:15:00,EURGBP,SELL,-7,9,0.86423,0.86485,2026-06-04 11:15:00,LOSS,1.5,6.8,0.4
