Timestamp,Instrument,Direction,Score,Signal,Trend,ADX,ATR_Percentile,Breakout,Strike,Bid,Result,Notes
2026-05-31 22:00:02,GBPNZD,SELL,-6,STRONG SELL,DOWN,66,53,,32,2.24613,,
2026-05-31 23:20:56,NZDUSD,BUY,+6,STRONG BUY,UP,53,52,,11,0.59714,,
2026-05-31 23:20:56,USDJPY,BUY,+6,STRONG BUY,UP,21,72,UP,16,159.35600,,
2026-05-31 23:45:55,GBPAUD,SELL,-6,STRONG SELL,DOWN,38,65,,23,1.87374,,
2026-06-01 04:30:00,EURAUD,SELL,-7,STRONG SELL,DOWN,26,64,DOWN,26,1.62012,,
2026-06-01 08:55:55,EURCAD,BUY,+7,STRONG BUY,UP,27,41,UP,18,1.60952,,
2026-06-01 09:40:55,USDCAD,BUY,+6,BUY,UP,19,40,UP,16,1.38161,,
2026-06-01 15:45:00,GBPUSD,SELL,-7,STRONG SELL,FLAT,17,47,DOWN,22,1.34258,,
2026-06-01 15:55:57,USDCAD,BUY,+8,STRONG BUY,UP,19,46,UP,17,1.38463,,
2026-06-01 15:55:57,USDCHF,BUY,+7,STRONG BUY,FLAT,31,70,UP,12,0.78817,,
2026-06-01 16:50:56,GBPCHF,BUY,+7,STRONG BUY,FLAT,28,69,UP,13,1.05788,,
2026-06-01 17:30:56,EURGBP,SELL,-6,STRONG SELL,FLAT,22,72,DOWN,9,0.86426,,
2026-06-01 20:00:00,EURJPY,BUY,+6,STRONG BUY,UP,25,75,,21,185.72700,,
2026-06-02 15:35:57,GBPCHF,BUY,+10,STRONG BUY,UP,30,40,UP,12,1.05925,,
2026-06-02 18:30:57,EURGBP,SELL,-8,STRONG SELL,DOWN,30,42,DOWN,9,0.86324,,
2026-06-02 18:45:00,USDCHF,BUY,+6,STRONG BUY,UP,36,55,UP,12,0.78730,,
2026-06-02 19:45:01,GBPCHF,BUY,+8,STRONG BUY,UP,30,73,UP,14,1.06040,,
2026-06-02 20:55:57,EURJPY,BUY,+6,STRONG BUY,UP,26,47,,19,185.95600,,
2026-06-02 23:05:57,EURGBP,SELL,-10,STRONG SELL,DOWN,31,56,DOWN,9,0.86298,,
2026-06-03 10:20:57,USDJPY,BUY,+6,STRONG BUY,UP,39,79,,12,159.72400,,
2026-06-03 14:30:57,EURUSD,SELL,-6,SELL,DOWN,24,47,,13,1.16060,,
2026-06-03 14:40:57,GBPUSD,SELL,-7,STRONG SELL,FLAT,13,54,DOWN,23,1.34287,,
2026-06-03 16:43:20,GBPCHF,BUY,+6,STRONG BUY,UP,33,44,,10,1.06153,,
2026-06-03 17:10:57,USDCAD,BUY,+6,STRONG BUY,UP,21,42,UP,17,1.38876,,
2026-06-03 17:45:00,GBPCAD,BUY,+6,STRONG BUY,UP,10,40,UP,25,1.86569,,
2026-06-03 18:10:57,USDCHF,BUY,+8,STRONG BUY,UP,40,42,UP,11,0.79161,,
2026-06-03 18:40:57,GBPUSD,SELL,-7,STRONG SELL,FLAT,14,62,DOWN,25,1.34160,,
2026-06-03 23:05:57,EURGBP,SELL,-6,STRONG SELL,DOWN,36,52,,9,0.86379,,
2026-06-03 23:35:57,GBPCHF,BUY,+7,STRONG BUY,UP,35,47,,11,1.06230,,
2026-06-03 23:50:57,USDCHF,BUY,+6,STRONG BUY,UP,42,46,,11,0.79180,,
2026-06-04 11:30:00,EURJPY,BUY,+8,STRONG BUY,UP,27,40,UP,17,185.79600,,
2026-06-04 11:30:00,GBPJPY,BUY,+7,STRONG BUY,UP,23,41,UP,23,214.82800,,
2026-06-04 13:20:57,GBPUSD,BUY,+6,STRONG BUY,FLAT,20,46,UP,20,1.34552,,
2026-06-04 13:25:57,USDCHF,SELL,-7,STRONG SELL,FLAT,46,66,DOWN,12,0.78730,,
2026-06-04 13:46:10,AUDJPY,BUY,+6,STRONG BUY,FLAT,22,66,UP,23,114.18300,,
2026-06-04 14:15:00,USDJPY,BUY,+6,BUY,UP,28,71,,15,159.83500,,
2026-06-04 16:35:57,USDCHF,BUY,+6,STRONG BUY,UP,43,78,,13,0.78882,,
2026-06-04 16:40:57,USDCAD,BUY,+6,STRONG BUY,UP,32,63,,12,1.38953,,
2026-06-04 22:25:57,GBPUSD,SELL,-6,SELL,DOWN,18,44,DOWN,20,1.34203,,
2026-06-04 23:04:36,EURGBP,SELL,-8,STRONG SELL,DOWN,28,63,DOWN,9,0.86425,,
2026-06-04 23:15:57,USDCAD,BUY,+7,STRONG BUY,UP,32,67,,13,1.39076,,
2026-06-04 23:34:40,GBPCHF,BUY,+7,STRONG BUY,UP,28,76,,14,1.05946,,
2026-06-05 03:25:57,USDCAD,BUY,+8,STRONG BUY,UP,33,43,UP,11,1.39113,,
2026-06-05 12:30:57,EURGBP,SELL,-9,STRONG SELL,DOWN,25,46,DOWN,9,0.86355,,
2026-06-05 14:30:58,CADJPY,BUY,+7,STRONG BUY,FLAT,31,79,UP,11,115.33500,,
2026-06-05 14:35:57,GBPCHF,BUY,+9,STRONG BUY,UP,23,41,UP,12,1.06295,,
2026-06-05 14:35:57,GBPNZD,BUY,+6,STRONG BUY,UP,39,53,UP,27,2.29347,,
2026-06-05 14:37:37,USDCHF,BUY,+10,STRONG BUY,UP,32,47,UP,10,0.79143,,
2026-06-05 14:37:37,EURUSD,SELL,-8,STRONG SELL,DOWN,22,58,DOWN,15,1.16061,,
2026-06-05 14:37:37,USDCAD,BUY,+7,STRONG BUY,UP,30,52,,11,1.38815,,
2026-06-05 14:55:57,NZDUSD,SELL,-10,STRONG SELL,DOWN,45,74,DOWN,11,0.58479,,
2026-06-05 14:55:57,USDJPY,BUY,+9,STRONG BUY,UP,24,44,UP,11,160.14200,,
2026-06-05 14:55:57,GBPUSD,SELL,-7,STRONG SELL,DOWN,17,80,DOWN,24,1.34130,,
2026-06-05 22:08:02,GBPNZD,BUY,+8,STRONG BUY,UP,41,65,UP,30,2.30180,,
2026-06-08 05:03:29,USDJPY,BUY,+6,BUY,UP,18,73,UP,20,160.38500,,
2026-06-08 07:58:29,USDCHF,BUY,+6,STRONG BUY,UP,45,79,,13,0.79781,,
2026-06-08 09:23:29,EURGBP,SELL,-6,STRONG SELL,DOWN,32,70,,9,0.86377,,
2026-06-08 10:58:29,CADJPY,SELL,-6,STRONG SELL,DOWN,41,78,DOWN,13,114.71200,,
2026-06-08 11:36:27,USDCAD,BUY,+8,STRONG BUY,UP,38,58,UP,12,1.39530,,
2026-06-08 13:13:29,GBPCHF,BUY,+7,STRONG BUY,UP,26,72,UP,14,1.06444,,
2026-06-08 13:15:00,AUDUSD,BUY,+6,STRONG BUY,FLAT,55,78,UP,15,0.70709,,
2026-06-08 13:21:31,GBPNZD,SELL,-7,STRONG SELL,FLAT,49,46,DOWN,27,2.29004,,
2026-06-08 13:23:29,EURGBP,SELL,-9,STRONG SELL,DOWN,29,49,DOWN,9,0.86342,,
2026-06-08 15:48:29,USDCAD,BUY,+6,STRONG BUY,UP,38,57,,12,1.39374,,
2026-06-08 19:48:29,USDCAD,BUY,+8,STRONG BUY,UP,37,76,UP,13,1.39544,,
2026-06-09 01:33:29,NZDUSD,SELL,-8,STRONG SELL,DOWN,46,47,DOWN,10,0.58043,,
2026-06-09 02:23:29,GBPUSD,SELL,-7,STRONG SELL,DOWN,23,49,DOWN,18,1.33322,,
2026-06-09 07:38:29,GBPNZD,SELL,-6,STRONG SELL,FLAT,39,50,DOWN,29,2.28879,,
2026-06-09 08:18:29,EURAUD,SELL,-6,STRONG SELL,FLAT,39,42,DOWN,18,1.63387,,
2026-06-09 09:48:29,GBPAUD,BUY,+6,STRONG BUY,UP,38,65,UP,24,1.89560,,
2026-06-09 10:38:29,GBPJPY,BUY,+6,STRONG BUY,FLAT,33,40,UP,20,214.34700,,
2026-06-09 11:18:29,GBPCAD,BUY,+7,STRONG BUY,UP,23,44,UP,21,1.86573,,
2026-06-09 11:48:29,EURCAD,BUY,+6,STRONG BUY,FLAT,27,41,UP,16,1.61089,,
2026-06-09 15:38:29,GBPAUD,BUY,+6,STRONG BUY,UP,39,79,UP,26,1.90067,,
2026-06-09 16:18:29,AUDJPY,SELL,-6,STRONG SELL,DOWN,43,64,DOWN,19,112.79100,,
2026-06-09 16:18:29,AUDUSD,SELL,-6,STRONG SELL,DOWN,39,73,DOWN,13,0.70398,,
