SignalTime,Instrument,Direction,Score,Strike,EntryPrice,ExpiryPrice,ExpiryTime,Result,Spread_pips,MAE_pips,MFE_pips
2026-05-31 22:00:02,GBPNZD,SELL,-6,32,2.24613,2.24711,2026-06-01 00:00:02,LOSS,1.5,26.6,10.3
2026-05-31 23:20:56,NZDUSD,BUY,+6,11,0.59714,0.59790,2026-06-01 01:20:56,WIN,1.5,1.7,13.6
2026-05-31 23:20:56,USDJPY,BUY,+6,16,159.35600,159.38200,2026-06-01 01:20:56,WIN,1.5,3.7,7.5
2026-05-31 23:45:55,GBPAUD,SELL,-6,23,1.87374,1.87313,2026-06-01 01:45:55,WIN,1.5,10.6,14.7
2026-06-01 04:30:00,EURAUD,SELL,-7,26,1.62012,1.62102,2026-06-01 06:30:00,LOSS,1.5,23.7,0.6
2026-06-01 08:55:55,EURCAD,BUY,+7,18,1.60952,1.61016,2026-06-01 10:55:55,WIN,1.5,3.8,15.1
2026-06-01 09:40:55,USDCAD,BUY,+6,16,1.38161,1.38210,2026-06-01 11:40:55,WIN,1.5,4.7,6.2
2026-06-01 15:45:00,GBPUSD,SELL,-7,22,1.34258,1.34471,2026-06-01 17:45:00,LOSS,1.5,29.6,19.3
2026-06-01 15:55:57,USDCAD,BUY,+8,17,1.38463,1.38378,2026-06-01 17:55:57,LOSS,1.5,19.9,2.6
2026-06-01 15:55:57,USDCHF,BUY,+7,12,0.78817,0.78680,2026-06-01 17:55:57,LOSS,1.5,21.0,2.7
2026-06-01 16:50:56,GBPCHF,BUY,+7,13,1.05788,1.05869,2026-06-01 18:50:56,WIN,1.5,5.9,11.7
2026-06-01 17:30:56,EURGBP,SELL,-6,9,0.86426,0.86379,2026-06-01 19:30:56,WIN,1.5,2.8,5.4
2026-06-01 20:00:00,EURJPY,BUY,+6,21,185.72700,185.74500,2026-06-01 22:00:00,WIN,1.5,3.2,9.2
2026-06-02 15:35:57,GBPCHF,BUY,+10,12,1.05925,1.05922,2026-06-02 17:35:57,LOSS,1.5,4.5,5.9
2026-06-02 18:30:57,EURGBP,SELL,-8,9,0.86324,0.86332,2026-06-02 20:30:57,LOSS,1.5,3.4,0.9
2026-06-02 18:45:00,USDCHF,BUY,+6,12,0.78730,0.78764,2026-06-02 20:45:00,WIN,1.5,3.0,11.0
2026-06-02 19:45:01,GBPCHF,BUY,+8,14,1.06040,1.06031,2026-06-02 21:45:01,LOSS,1.5,2.4,2.8
2026-06-02 20:55:57,EURJPY,BUY,+6,19,185.95600,186.01400,2026-06-02 22:55:57,WIN,1.5,1.3,10.9
2026-06-02 23:05:57,EURGBP,SELL,-10,9,0.86298,0.86363,2026-06-03 01:05:57,LOSS,1.5,8.6,1.8
2026-06-03 10:20:57,USDJPY,BUY,+6,12,159.72400,159.82100,2026-06-03 12:20:57,WIN,1.5,35.9,15.7
2026-06-03 14:30:57,EURUSD,SELL,-6,13,1.16060,1.16007,2026-06-03 16:30:57,WIN,1.5,2.5,9.6
2026-06-03 14:40:57,GBPUSD,SELL,-7,23,1.34287,1.34256,2026-06-03 16:40:57,WIN,1.5,9.2,7.2
2026-06-03 16:43:20,GBPCHF,BUY,+6,10,1.06153,1.06295,2026-06-03 18:43:20,WIN,1.5,2.1,15.3
2026-06-03 17:10:57,USDCAD,BUY,+6,17,1.38876,1.38900,2026-06-03 19:10:57,WIN,1.5,8.7,10.4
2026-06-03 17:45:00,GBPCAD,BUY,+6,25,1.86569,1.86407,2026-06-03 19:45:00,LOSS,1.5,18.9,6.1
2026-06-03 18:10:57,USDCHF,BUY,+8,11,0.79161,0.79254,2026-06-03 20:10:57,WIN,1.5,1.2,9.5
2026-06-03 18:40:57,GBPUSD,SELL,-7,25,1.34160,1.34149,2026-06-03 20:40:57,LOSS,1.5,12.3,4.4
2026-06-03 23:05:57,EURGBP,SELL,-6,9,0.86379,0.86456,2026-06-04 01:05:57,LOSS,1.5,9.0,0.9
2026-06-03 23:35:57,GBPCHF,BUY,+7,11,1.06230,1.06201,2026-06-04 01:35:57,LOSS,1.5,5.1,3.9
2026-06-03 23:50:57,USDCHF,BUY,+6,11,0.79180,0.79099,2026-06-04 01:50:57,LOSS,1.5,8.3,4.3
2026-06-04 11:30:00,EURJPY,BUY,+8,17,185.79600,186.01000,2026-06-04 13:30:00,WIN,1.5,1.3,28.3
2026-06-04 11:30:00,GBPJPY,BUY,+7,23,214.82800,215.05600,2026-06-04 13:30:00,WIN,1.5,5.0,30.8
2026-06-04 13:20:57,GBPUSD,BUY,+6,20,1.34552,1.34542,2026-06-04 15:20:57,LOSS,1.5,5.3,7.2
2026-06-04 13:25:57,USDCHF,SELL,-7,12,0.78730,0.78790,2026-06-04 15:25:57,LOSS,1.5,9.4,5.3
2026-06-04 13:46:10,AUDJPY,BUY,+6,23,114.18300,114.20700,2026-06-04 15:46:10,WIN,1.5,11.1,4.7
2026-06-04 14:15:00,USDJPY,BUY,+6,15,159.83500,159.91700,2026-06-04 16:15:00,WIN,1.5,4.8,9.1
2026-06-04 16:35:57,USDCHF,BUY,+6,13,0.78882,0.78869,2026-06-04 18:35:57,LOSS,1.5,7.9,2.1
2026-06-04 16:40:57,USDCAD,BUY,+6,12,1.38953,1.38971,2026-06-04 18:40:57,WIN,1.5,6.4,9.4
2026-06-04 22:25:57,GBPUSD,SELL,-6,20,1.34203,1.34231,2026-06-05 00:25:57,LOSS,1.5,9.1,3.3
2026-06-04 23:04:36,EURGBP,SELL,-8,9,0.86425,0.86500,2026-06-05 01:04:36,LOSS,1.5,8.8,1.7
2026-06-04 23:15:57,USDCAD,BUY,+7,13,1.39076,1.39059,2026-06-05 01:15:57,LOSS,1.5,10.6,1.3
2026-06-04 23:34:40,GBPCHF,BUY,+7,14,1.05946,1.05951,2026-06-05 01:34:40,LOSS,1.5,9.3,4.4
2026-06-05 03:25:57,USDCAD,BUY,+8,11,1.39113,1.39030,2026-06-05 05:25:57,LOSS,1.5,11.7,0.6
2026-06-05 12:30:57,EURGBP,SELL,-9,9,0.86355,0.86419,2026-06-05 14:30:57,LOSS,1.5,8.7,0.1
2026-06-05 14:30:58,CADJPY,BUY,+7,11,115.33500,115.13100,2026-06-05 16:30:58,LOSS,1.5,34.0,2.4
